제목,사건번호,선고일자,참조조문,판시사항
국민체육진흥법위반(도박개장등)·도박공간개설[형의 임의적 감면사유인 자수사실에 관한 진술을 유죄판결의 이유에서 명시하여야 하는지가 문제된 사안],2021도6051,2024. 7. 11.,"형법 제52조, 형사소송법 제323조",형법 제52조 제1항의 자수가 형의 임의적 감면사유인지 여부(적극) / 형의 임의적 감면사유인 자수사실에 관한 진술을 유죄판결의 이유에서 명시하여야 하는지 여부(소극)
마약류관리에관한법률위반(향정)[국선변호인의 선정 없이 공판심리가 이루어져 피고인의 방어권이 침해되었는지 여부가 문제된 사건],2024도4202,2024. 7. 11.,"대한민국헌법 제12조, 형사소송법 제33조, 형사소송법 제383조","[1] 형사소송법 제33조에서 규정한 국선변호인 제도의 취지와 내용
 [2] 약물중독 등으로 인한 심신미약 정도, 마약 투약으로 수사받던 피고인이 중요한 수사협조를 하여 특별감경 양형요소로 반영될 개연성이 높은 경우 등 피고인에게 유리한 양형요소를 주장할 필요성이 있는 경우, 피고인의 권리보호를 위하여 국선변호인을 선정하여 방어권을 보장해 줄 필요가 있는지 여부(적극)
 [3] 제1심법원이 피고인에 대하여 무죄를 선고하였으나 검사가 항소한 사안에서 항소법원이 변호인이 선임되지 않은 피고인에 대하여 검사의 항소를 받아들여 유죄를 선고하는 경우, 피고인의 권리보호를 위하여 공판심리단계에서부터 국선변호인의 선정을 더욱 적극적으로 고려하여야 하는지 여부(적극)
 [4] 형사소송법 제33조 제3항을 적용하여 국선변호인을 선정하여 방어권을 보장해 줄 필요가 있는지 판단할 때 고려하여야 할 사정 / 이때 국선변호인을 선정할 필요가 있음에도 국선변호인의 선정 없이 공판심리가 이루어져 피고인의 방어권이 침해됨으로써 판결에 영향을 미친 경우, 형사소송법 제33조 제3항을 위반한 것인지 여부(적극)"
선박안전법위반·배임수재[감항성 결함 미신고행위에 해당하는지 여부가 문제된 사건],2021도7251,2024. 7. 11.,"선박안전법 제2조, 선박안전법 제74조, 선박안전법 제84조","선박이 감항성을 갖추고 있는지 판단하는 기준 / 구 선박안전법 제74조 제1항에서 정한 ‘선박의 감항성의 결함’의 의미 / 선박이 특정 항해에서 통상의 해상위험을 감내하고 안전하게 항해할 수 있는 성능이 부족하거나 완전하지 못한 경우, 그 자체로 위 조항에서 정한 신고의무대상인 ‘감항성의 결함’에 해당하는지 여부(적극) 및 이때 그 결함이 반드시 중대할 것을 요하는지 여부(소극)"
아동학대범죄의처벌등에관한특례법위반(아동학대살해)·아동복지법위반(상습아동학대)·아동복지법위반(상습아동유기·방임)[「아동학대범죄의 처벌 등에 관한 특례법」 위반(아동학대살해)죄에서 살해의 고의가 인정되는지 문제되는 사건],2024도2940,2024. 7. 11.,"아동학대범죄의 처벌 등에 관한 특례법 제1조, 아동학대범죄의 처벌 등에 관한 특례법 제4조, 형법 제13조, 형법 제250조","아동학대범죄의 처벌 등에 관한 특례법상 아동학대살해죄에서 살해의 범의의 인정 기준 및 피고인이 범행 당시 살해의 범의가 없다고 다투는 경우, 살해의 범의가 있었는지 판단하는 기준 / 아동학대살해죄에서 피고인이 범행 당시 살해의 범의는 없고 아동학대의 고의만 있었다고 다투는 경우, 아동학대살해의 범의가 인정되는지 판단하는 기준"
공격기피[파기환송 판결의 사실상 및 법률상 판단의 기속력],2022오5,2024. 6. 27.,"민사소송법 제436조, 법원조직법 제8조, 법원조직법 제18조, 형사소송법 제383조, 형사소송법 제384조","상고심판결의 파기이유가 된 사실상의 판단도 기속력을 가지는지 여부(적극) / 상고심으로부터 사건을 환송받은 법원은 상고법원이 파기이유로 한 사실상 및 법률상의 판단에 기속되는지 여부(한정 적극) / 이때 기속적 판단의 기초가 된 증거관계에 변동이 생기지 아니하였음에도 하급심이 상급심판결의 파기이유와 달리 판단한 경우, 그 하급심판결의 위법 여부(적극)"
근로기준법위반[구 근로기준법(2019. 4. 30. 법률 제16415호로 개정되기 전의 것) 제44조의2 위반의 고의가 문제된 사건],2024도4055,2024. 6. 27.,"건설산업기본법 제25조, 건설산업기본법 제96조, 근로기준법 제44조의2, 근로기준법 제109조","[1] 구 근로기준법 제44조의2, 제109조의 입법 취지 / 건설업에서 2차례 이상 도급이 이루어지고 건설업자가 아닌 하수급인이 그가 사용한 근로자에게 임금을 지급하지 못한 경우, 하수급인의 직상 수급인은 자신에게 귀책사유가 있는지 또는 하수급인에게 대금을 지급하였는지와 관계없이 하수급인과 연대하여 하수급인이 사용한 근로자의 임금을 지급할 책임을 부담하는지 여부(적극)
 [2] 구 근로기준법 제44조의2가 강행규정인지 여부(적극) / 근로자가 임금 수령권한을 하수급인에게 위임하였다는 이유로 직상 수급인이 임금 상당액을 하수급인에게 지급했는데 나중에 하수급인이 근로자에게 임금을 지급하지 않았을 경우, 직상 수급인은 구 근로기준법 제44조의2에 따른 임금지급의무를 이행한 것인지 여부(소극) 및 이때 임금 미지급으로 인한 근로기준법 위반의 고의가 인정되는지 여부(원칙적 적극)"
근로기준법위반[기간제 근로계약의 근로조건 명시의무가 문제된 사건],2020도16541,2024. 6. 27.,"근로기준법 제1조, 근로기준법 제2조, 근로기준법 제17조, 근로기준법 제114조, 기간제 및 단시간근로자 보호 등에 관한 법률 제1조, 기간제 및 단시간근로자 보호 등에 관한 법률 제17조, 기간제 및 단시간근로자 보호 등에 관한 법률 제24조",사용자의 근로조건 명시의무를 규정한 근로기준법 제17조 제1항과 그 벌칙 조항인 제114조 제1호가 기간제 근로계약을 체결할 때에도 적용되는지 여부(적극) / 기간제 및 단시간근로자 보호 등에 관한 법률이 이와 거의 동일한 위반행위에 관하여 과태료를 부과하고 있다고 하여 위 근로기준법 규정의 적용이 배제되는지 여부(소극)
사기미수·도시및주거환경정비법위반[소송비용액확정결정신청의 소송비용액계산서에 실제 지출하지 않은 변호사비용을 기재한 행위가 소송사기에 해당하는지 여부가 문제된 사건],2021도2340,2024. 6. 27.,"민사소송법 제110조, 형법 제347조","허위 내용으로 법원을 기망하여 자기에게 유리한 소송비용액확정결정을 받는 행위가 사기죄를 구성할 수 있는지 여부(적극) / 이때 소송비용액확정결정을 신청하는 당사자가 소명자료 등을 조작하거나 허위의 소명자료 등을 제출함이 없이 단지 실제 사실과 다른 비용액에 관한 주장만 하는 경우, 사기죄의 성립 여부(원칙적 소극)"
주거침입[피고인이 피해자가 거주하는 빌라 건물의 공동현관문을 열고 들어가 계단까지 침입한 사건],2023도16019,2024. 6. 27.,형법 제319조,"[1] 다가구용 단독주택이나 공동주택 내부의 엘리베이터, 공용계단, 복도 등 공용부분이 주거침입죄의 객체인 ‘사람의 주거’에 해당하는지 여부(적극) / 거주자가 아닌 외부인이 공동주택의 공용부분에 출입한 것이 공동주택 거주자들에 대한 주거침입에 해당하는지 판단하는 기준
 [2] 피고인이 甲이 거주하는 빌라 건물의 공동현관문을 열고 들어가 5층 계단까지 침입한 후 공업용 접착제를 흡입함으로써 甲의 주거지에 침입하였다는 공소사실로 기소된 사안에서, 피고인의 행위는 甲 등 위 건물에 거주하는 사람들의 ‘주거의 사실상 평온상태’를 해치는 행위로서 주거침입으로 평가할 수 있다는 이유로, 이와 달리 본 원심판결에 법리오해의 잘못이 있다고 한 사례"
교통사고처리특례법위반(치상)[백색실선 침범이 교통사고처리 특례법 제3조 제2항 단서 제1호의 처벌특례 배제사유인 ‘통행금지를 내용으로 하는 안전표지 위반’에 해당하는지 여부가 문제된 사건],2022도12175,2024. 6. 20.,"교통사고처리 특례법 제3조, 교통사고처리 특례법 제4조, 도로교통법 제6조, 도로교통법 제14조, 도로교통법 제156조, 도로교통법 시행규칙 제8조",진로변경을 금지하는 안전표지인 백색실선이 교통사고처리 특례법 제3조 제2항 단서 제1호에서 정하고 있는 ‘통행금지를 내용으로 하는 안전표지’에 해당하여 이를 침범하여 교통사고를 일으킨 운전자에 대하여 위 조항 본문의 반의사불벌죄 규정 및 제4조 제1항의 종합보험 가입특례 규정의 적용이 배제되는지 여부(소극)
개인정보보호법위반(일부예비적죄명:정보통신망이용촉진및정보보호등에관한법률위반)[정보주체의 동의 없이 유통되는 개인정보를 매입하는 행위가 「개인정보 보호법」 제72조 제2호 전단의 ‘거짓이나 그 밖의 부정한 수단이나 방법으로 개인정보를 취득한 행위’에 해당하는지 여부가 문제된 사건],2019도3402,2024. 6. 17.,"개인정보 보호법 제59조, 개인정보 보호법 제72조","[1] 구 개인정보 보호법 제72조 제2호 전단에서 규정한 ‘거짓이나 그 밖의 부정한 수단이나 방법’의 의미 / 이때 개인정보 취득 과정에서 사용하는 ‘거짓이나 그 밖의 부정한 수단이나 방법’에는 정보주체나 개인정보 보유자의 의사결정에 영향을 미칠 수 있는 적극적 또는 소극적 행위는 물론 해킹과 같이 정보주체 등의 의사결정과 무관하게 그 자체로 위계 기타 사회통념상 부정한 방법이라고 인정되는 행위도 포함되는지 여부(적극)
  [2] 개인정보가 정보주체의 동의 등에 기하지 아니한 채 유통되고 있는 사정을 알면서 개인정보를 제공받은 것만으로 구 개인정보 보호법 제72조 제2호 전단의 ‘거짓이나 그 밖의 부정한 수단이나 방법’을 사용하여 개인정보를 취득한 경우에 해당하는지 여부(소극) / 개인정보를 제공받은 사람이 ‘개인정보를 처리하거나 처리하였던 자가 거짓이나 그 밖의 부정한 수단이나 방법을 사용하여 개인정보를 취득하거나 개인정보 처리에 관한 동의를 받았다는 사정’을 알면서도 영리 또는 부정한 목적으로 개인정보를 제공받은 경우, 같은 법 제72조 제2호 후단에 해당할 수 있는지 여부(적극)"
특정경제범죄가중처벌등에관한법률위반(횡령)·특정경제범죄가중처벌등에관한법률위반(배임)·강제집행면탈·예금자보호법위반[「부패재산의 몰수 및 회복에 관한 특례법」 제6조 제1항에서 몰수·추징의 요건으로 규정한 ‘범죄피해자가 그 재산에 관하여 범인에 대한 재산반환청구권 또는 손해배상청구권 등을 행사할 수 없는 등 피해회복이 심히 곤란한 경우’에 해당하는지 여부가 문제된 사건],2023도17596,2024. 6. 13.,"대한민국헌법 제12조, 부패재산의 몰수 및 회복에 관한 특례법 제6조, 형법 제1조","[1] 부패재산의 몰수 및 회복에 관한 특례법 제6조 제1항에서 정한 몰수·추징의 요건 및 제도적 취지 / 위 조항에 근거한 검사의 몰수·추징은 범죄피해재산을 피해자에게 환부하기 위한 선행 절차인지 여부(적극)
  [2] 형사법상 몰수를 갈음하는 추징이 형벌적 성격을 가지는지 여부(적극) / 몰수·추징의 요건을 정한 부패재산의 몰수 및 회복에 관한 특례법 제6조 제1항을 해석할 때 고려할 사항"
폭행·특수상해(인정된죄명:상해)·특수협박(인정된죄명:협박)·감금[피고인이 위험한 물건을 ‘휴대하여’ 피해자를 협박하고 상해를 가하였는지 여부가 문제된 사건],2023도18812,2024. 6. 13.,"형법 제257조, 형법 제258조의2, 형법 제283조, 형법 제284조","특수상해죄 및 특수협박죄의 구성요건 중 위험한 물건을 ‘휴대하여’의 의미 / 이때 범행 현장에서 위험한 물건을 사용하려는 의도가 있었는지 판단하는 기준 및 위험한 물건을 실제로 범행에 사용하였을 것까지 요구되는지 여부(소극) / 위험한 물건을 휴대하였다고 하기 위하여, 그 물건을 현실적으로 손에 쥐고 있는 등 피고인과 그 물건이 반드시 물리적으로 부착되어 있어야 하는지 여부(소극)"
무고[피고인이 피무고자를 상대로 고소한 내용이 무고에 해당하는지 여부가 문제된 사건],2021도2656,2024. 5. 30.,"아동ㆍ청소년의 성보호에 관한 법률 제7조, 형법 제156조, 형법 제297조, 형사소송법 제308조","[1] 무고죄의 성립요건 / 신고사실의 진실성을 인정할 수 없다는 소극적 증명만으로 그 신고사실을 허위의 사실이라 단정하여 무고죄의 성립을 인정할 수 있는지 여부(소극) / 신고내용 중 일부 객관적 진실에 반하는 내용이 포함되어 있으나 단지 신고사실의 정황을 과장하는 데 불과한 경우, 무고죄가 성립하는지 여부(소극) / 객관적 사실관계를 그대로 신고하였으나 그러한 사실관계를 토대로 한 나름대로의 주관적 법률평가를 잘못하고 이를 신고한 경우, 그 사실만 가지고 허위의 사실을 신고한 것에 해당하는지 여부(소극)
  [2] 성폭행 등의 피해자가 하는 진술의 증명력을 판단할 때 고려할 사항 / 피해자임을 주장하는 사람이 성폭행 등의 피해를 입었다고 신고한 사실에 대하여 증거불충분 등을 이유로 불기소처분되거나 무죄판결이 선고된 경우, 반대로 이러한 신고내용이 객관적 사실에 반하여 무고죄가 성립하는지를 판단할 때 고려할 사항"
성매매알선등행위의처벌에관한법률위반(성매매알선등)[수사기관의 영장 없는 범행현장 대화 녹음 등의 증거능력이 문제된 사건],2020도9370,2024. 5. 30.,"대한민국헌법 제12조, 통신비밀보호법 제3조, 형사소송법 제211조, 형사소송법 제212조, 형사소송법 제216조, 형사소송법 제244조의3, 형사소송법 제307조, 형사소송법 제308조의2, 형사소송법 제312조","[1] 수사기관이 적법한 절차와 방법에 따라 범죄를 수사하면서 현재 그 범행이 행하여지고 있거나 행하여진 직후이고, 증거보전의 필요성 및 긴급성이 있으며, 일반적으로 허용되는 상당한 방법으로 범행현장에서 현행범인 등 관련자들과 수사기관의 대화를 녹음한 경우, 위 녹음이 영장 없이 이루어졌다는 이유로 위법하다고 단정할 수 있는지 여부(소극) / 이는 그 녹음이 행하여지고 있는 사실을 현장에 있던 대화상대방, 즉 현행범인 등 관련자들이 인식하지 못하고 있었더라도 마찬가지인지 여부(한정 적극) / 이때 수사기관이 일반적으로 허용되는 상당한 방법으로 녹음하였는지 판단하는 기준
  [2] 수사기관에서의 조사 과정에서 피의자의 진술을 녹취 내지 기재한 ‘진술조서, 진술서, 자술서’를 피의자신문조서와 달리 볼 수 있는지 여부(소극) / 수사기관이 피의자를 신문하면서 피의자에게 미리 진술거부권을 고지하지 않은 경우, 피의자 진술의 증거능력 유무(소극) / 진술거부권 고지의 대상이 되는 피의자의 지위가 인정되는 시기 및 피의자의 지위에 있지 아니한 자에게 진술거부권이 고지되지 아니한 경우, 그 진술의 증거능력 유무(적극)"
성폭력범죄의처벌등에관한특례법위반(성적목적다중이용장소침입)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)[피고인이 피의자였을 때 한 자백의 증거능력이 문제된 사건],2020도16796,2024. 5. 30.,형사소송법 제312조,"[1] 수사기관이 작성한 압수조서에 기재된 피의자였던 피고인의 자백 진술 부분에 대해 피고인 또는 변호인이 그 내용을 부인하는 경우, 구 형사소송법 제312조 제3항에 의한 증거능력 유무(소극) / 위 규정에서 정한 ‘그 내용을 인정할 때’의 의미 / 피고인이 공소사실을 부인하는 경우, 수사기관이 작성한 피의자신문조서 중 공소사실을 인정하는 취지의 진술 부분은 그 내용을 인정하지 않았다고 보아야 하는지 여부(적극)
  [2] 수사기관에 제출된 변호인의견서에 피의자가 당해사건 수사기관에 한 진술이 인용되어 있는 경우, 그 진술이 수사기관의 수사과정에서 작성된 ‘피의자의 진술이 기재된 신문조서나 진술서 등’으로부터 독립하여 증거능력을 가지는지 여부(소극) / 피고인이 피의자였을 때 수사기관에 한 진술이 기재된 조서나 수사과정에서 작성된 진술서 등의 증거능력을 인정할 수 없는 경우, 수사기관에 제출된 변호인의견서에 기재된 같은 취지의 피의자 진술 부분을 유죄의 증거로 사용할 수 있는지 여부(소극)"
성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)·협박[「성폭력범죄의 처벌 등에 관한 특례법」제14조의3 제1항의 ‘촬영물 등을 이용하여’의 의미가 문제된 사건],2023도17896,2024. 5. 30.,"성폭력범죄의 처벌 등에 관한 특례법 제14조의3, 형법 제283조","성폭력범죄의 처벌 등에 관한 특례법 제14조의3 제1항에서 정한 ‘촬영물 또는 복제물(복제물의 복제물을 포함한다)을 이용하여’의 의미 / 협박죄에서 협박의 의미 및 태도나 거동에 의하여 해악을 고지하는 경우도 협박에 해당하는지 여부(적극) / 실제로 촬영, 제작, 복제 등의 방법으로 만들어진 바 있는 촬영물 등을 방편 또는 수단으로 삼아 유포가능성 등 공포심을 일으킬 수 있을 정도의 해악을 고지한 경우, 성폭력범죄의 처벌 등에 관한 특례법 제14조의3 제1항의 죄가 성립하는지 여부(적극) 및 이때 반드시 행위자가 촬영물 등을 피해자에게 직접 제시하는 방법으로 협박해야 한다거나 협박 당시 해당 촬영물 등을 소지하고 있거나 유포할 수 있는 상태여야 하는지 여부(소극)"
아동·청소년의성보호에관한법률위반(음란물제작·배포등)[인정된죄명:아동·청소년의성보호에관한법률위반(음란물소지)]·사기[피고인이 아동·청소년이용음란물을 판매하는 것처럼 기망할 목적으로 보관한 행위가 영리 목적의 아동·청소년이용음란물 소지에 해당하는지 여부가 문제된 사건],2021도6801,2024. 5. 30.,아동ㆍ청소년의 성보호에 관한 법률 제11조,구 아동·청소년의 성보호에 관한 법률 제11조 제2항이 처벌대상으로 정하고 있는 ‘소지’의 의미 / 위 조항에서 정한 소지죄가 성립하기 위해서는 영리 목적뿐만 아니라 ‘판매·대여·배포·제공 행위의 목적’이 있어야 하는지 여부(적극)
자본시장과금융투자업에관한법률위반[제3자 배정 유상증자와 전환사채 발행에 관한 공시가 이루어지게 한 것이 「자본시장과 금융투자업에 관한 법률」(이하 ‘자본시장법’) 제178조 제1항 제1호 또는 제2호의 부정행위인지 여부가 문제된 사건],2019도12887,2024. 5. 30.,"자본시장과 금융투자업에 관한 법률 제174조, 자본시장과 금융투자업에 관한 법률 제178조, 자본시장과 금융투자업에 관한 법률 제443조","[1] 자본시장과 금융투자업에 관한 법률 제178조에서 금융투자상품의 매매 그 밖의 거래에 관한 공정성과 신뢰성 및 효율성을 해치는 부정행위를 금지하는 취지
  [2] 자본시장과 금융투자업에 관한 법률 제178조 제1항 제1호에서 금지하는 부정행위의 모습인 ‘부정한 수단, 계획 또는 기교’의 의미 및 그 판단 기준
  [3] 자본시장과 금융투자업에 관한 법률 제178조 제1항 제2호에서 금지하는 부정행위인 ‘중요사항에 관하여 거짓의 기재를 하는 것 등을 통해 금전, 그 밖의 재산상의 이익을 얻고자 하는 행위’에서 말하는 ‘중요사항’, ‘금전, 그 밖의 재산상의 이익’의 의미 / 이때 거짓 기재 등의 행위로 인하여 실제로 금전, 그 밖의 재산상의 이익을 얻었어야 하는지 여부(소극) 및 금전, 그 밖의 재산상의 이익을 얻고자 하였는지 판단하는 기준
  [4] 주권상장법인이 유상증자, 신규 사업 추진 등 회사의 중요의사결정에 관하여 이사회에서 결의를 하는 등으로 내부적 절차를 거친 후 이에 대한 공시를 통하여 시장에 정보를 제공한 경우, 그 공시 내용이 거짓의 기재 또는 표시 등에 해당하여 자본시장과 금융투자업에 관한 법률 제178조 제1항 제2호에서 금지하는 부정행위를 하였는지가 문제 되는 사안에서 그 공시가 거짓의 기재 또는 표시 등에 해당하는지 판단하는 기준 / 해당 공시가 이사회 결의 내용 등 공시할 대상을 그대로 반영하여 그 공시 내용 자체를 거짓으로 보기 어려운 경우라도, 그러한 공시가 이루어지도록 한 행위가 같은 법 제178조 제1항 제1호의 ‘부정한 수단, 계획 또는 기교’를 사용하는 행위에 해당할 수 있는지 여부(한정 적극) 및 그 판단 기준"
상해[형사소송법 제33조 제1항 제1호가 정한 필요적 국선변호인 선정사유인 ‘구속’의 의미],2021도6357,2024. 5. 23.,"대한민국헌법 제12조, 형법 제37조, 형사소송법 제33조, 형사소송법 제69조, 형사소송법 제473조, 형사소송법 제474조, 형사소송법 제475조, 형사소송법 제492조",형사소송법 제33조 제1항 제1호에서 필요적 국선변호인 선정사유 중 하나로 정한 ‘피고인이 구속된 때’가 피고인이 해당 형사사건에서 구속되어 재판을 받고 있는 경우에 한정되는지 여부(소극) 및 피고인이 별건으로 구속영장이 발부되어 집행되거나 다른 형사사건에서 유죄판결이 확정되어 그 판결의 집행으로 구금 상태에 있는 경우도 포괄하는지 여부(적극)
공직선거법위반,2024도3298,2024. 5. 9.,"민사소송법 제183조, 민사소송법 제184조, 형사소송법 제65조, 형사소송법 제361조의2, 형사소송법 제361조의3","[1] 송달영수인 신고의 효력이 상소 또는 이송을 받은 법원의 소송절차에 미치는지 여부(소극) / 항소이유서 제출기간이 경과하기 전에 항소사건을 심판할 수 있는지 여부(소극)
 [2] 제1심 변호인이 피고인의 송달영수인으로 제1심 변호인을, 송달장소로 그 사무소를 각 기재한 신고서를 제1심에 제출하였고, 원심은 국선변호인 선정결정 후 국선변호인에게 소송기록접수통지서 등을 송달하며, 제1심 변호인의 사무소로 피고인에 대한 소송기록접수통지서 등을 송달하였는데, 이후 피고인이 제1심과 다른 변호인을 선임하여 변호인 선임서를 제출하자, 원심이 국선변호인 선정을 취소한 후 피고인에 대한 제1회 공판기일 소환장을 제1심 변호인의 사무소로 송달하였고, 원심 변호인에게 소송기록접수통지를 하지 않은 채 공판기일을 진행한 후 변론을 종결하고 판결을 선고한 사안에서, 원심판결에 소송절차 법령위반의 위법이 있다고 한 사례"
폐기물관리법위반,2023도3914,2024. 5. 9.,"전자문서 및 전자거래 기본법 제2조, 전자문서 및 전자거래 기본법 제4조의2, 폐기물관리법 제48조, 폐기물관리법 시행규칙 제68조의3, 행정절차법 제24조","휴대전화 문자메시지가 전자문서 및 전자거래 기본법 제4조의2에서 정한 요건을 갖춘 경우, 폐기물관리법 시행규칙 제68조의3 제1항에서 정한 서면의 범위에 포함되는지 여부(적극) / 행정청이 폐기물관리법 제48조 제1항, 같은 법 시행규칙 제68조의3 제1항에서 정한 폐기물 조치명령을 전자문서로 하는 경우, 구 행정절차법 제24조 제1항에 따라 당사자의 동의가 필요한지 여부(적극)"
근로기준법위반[근로기준법 제111조의 ‘확정된 구제명령 또는 구제명령을 내용으로 하는 재심판정을 이행하지 아니한 자’의 범위가 문제된 사건],2024도1309,2024. 4. 25.,"근로기준법 제2조, 근로기준법 제111조","[1] 근로기준법 제2조 제1항 제2호에서 사용자를 사업주에 한정하지 아니하고 확대한 취지
  [2] 형식상으로는 대표이사가 아니지만 실질적으로는 사주로서 회사를 사실상 경영하여 온 자가 근로기준법 제111조에서 말하는 구제명령을 이행하지 아니한 자에 해당하는지 여부(적극)"
특정경제범죄가중처벌등에관한법률위반(사기)[피고인들이 취득한 이득액을 구체적으로 산정할 수 없을 때 특정경제범죄 가중처벌 등에 관한 법률 제3조가 적용되는지에 관한 사안],2023도18971,2024. 4. 25.,"특정경제범죄 가중처벌 등에 관한 법률 제3조, 형법 제347조","금원 편취를 내용으로 하는 사기죄에서 대가가 일부 지급된 경우, 그 편취액(=교부받은 금원 전부) 및 이는 사기로 인한 특정경제범죄 가중처벌 등에 관한 법률 위반죄에서도 마찬가지인지 여부(적극) / 편취한 재물이나 재산상 이익의 가액을 기준으로 가중 처벌하는 같은 법 제3조의 적용을 전제로 편취한 재물이나 재산상 이익의 가액을 산정할 때 유의하여야 할 사항 / 이때 편취한 재산상 이익의 가액을 구체적으로 산정할 수 없는 경우, 같은 법 제3조를 적용할 수 있는지 여부(소극)"
부정청탁및금품등수수의금지에관한법률위반·공무상비밀누설[수사기관이 전자정보에 대한 압수·수색 과정에서 우연히 발견한 무관정보의 증거능력이 문제된 사건],2020도3050,2024. 4. 16.,"대한민국헌법 제12조, 형사소송법 제215조, 형사소송법 제307조, 형사소송법 제308조, 형사소송법 제308조의2","[1] 전자정보에 대한 압수·수색이 종료되기 전에 혐의사실과 관련된 전자정보(유관정보)를 적법하게 탐색하는 과정에서 이와 무관한 전자정보(무관정보)를 우연히 발견한 경우, 수사기관이 그러한 정보에 대하여도 압수·수색을 할 수 있는지 여부(한정 적극) / 수사기관이 유관정보를 선별하여 압수한 후에도 무관정보를 삭제·폐기·반환하지 않은 채 그대로 보관하고 있는 경우, 무관정보 부분에 대한 압수가 위법한지 여부(적극) 및 사후에 법원으로부터 압수·수색영장이 발부되었거나 피고인 등이 이를 증거로 함에 동의한 경우, 위법성이 치유되는지 여부(소극) / 수사기관이 새로운 범죄혐의의 수사를 위하여 기존 압수·수색 과정에서 취득한 무관정보가 남아 있는 하드카피·이미징 등 형태의 복제본을 탐색, 복제 또는 출력할 수 있는지 여부(소극) 및 사후에 법원으로부터 복제본을 대상으로 압수·수색영장을 발부받아 집행했더라도 위법한지 여부(적극)
  [2] 수사기관이 헌법과 형사소송법이 정한 절차에 따르지 않고 수집한 증거와 이를 기초로 획득한 2차적 증거를 유죄 인정의 증거로 삼을 수 있는지 여부(원칙적 소극) 및 법원이 위 증거를 유죄 인정의 증거로 사용할 수 있는 예외적인 경우 / 법원이 2차적 증거의 증거능력 인정 여부를 최종적으로 판단할 때 고려해야 할 사항"
상관명예훼손[군형법상 상관명예훼손죄에 대한 위법성조각사유가 문제된 사건],2023도13333,2024. 4. 16.,"군형법 제64조, 형법 제307조, 형법 제310조",군형법 제64조 제3항의 행위에 대해 형법 제307조 제1항의 행위에 대한 위법성조각사유를 규정한 형법 제310조가 유추적용되는지 여부(적극)
교통사고처리특례법위반(치상)·도로교통법위반(음주운전)[재심법원이 재심판결을 선고한 이후 재심청구의 취하가 허용되지 않는다고 한 사례],2023도13707,2024. 4. 12.,"형사소송법 제255조, 형사소송법 제420조, 형사소송법 제429조, 형사소송법 제435조, 형사소송법 제438조, 형사소송법 제454조",재심청구인이 재심청구를 취하할 수 있는지 여부(적극) 및 재심법원이 재심판결을 선고한 이후에도 재심청구의 취하가 허용되는지 여부(소극)
성폭력범죄의처벌및피해자보호등에관한법률위반(특수준강간)[유서의 증거능력과 관련하여 형사소송법 제314조의 ‘특히 신빙할 수 있는 상태’ 존재 여부가 문제된 사건],2023도13406,2024. 4. 12.,"성폭력범죄의 처벌 등에 관한 특례법 제4조, 성폭력범죄의 처벌 및 피해자보호 등에 관한 법률 제6조, 형사소송법 제308조, 형사소송법 제312조, 형사소송법 제313조, 형사소송법 제314조","[1] 형사소송법 제314조에서 정한 ‘그 진술 또는 작성이 특히 신빙할 수 있는 상태하에서 행하여졌음’의 의미 및 ‘특히 신빙할 수 있는 상태하에서 행하여졌음에 대한 증명’의 정도(=합리적 의심의 여지를 배제할 정도)
  [2] 피고인들이 망인 甲과 합동하여 피해자 乙(여, 당시 14세)의 심신상실 또는 항거불능 상태를 이용하여 乙을 간음하였다는 성폭력범죄의 처벌 및 피해자보호 등에 관한 법률 위반(특수준강간)의 공소사실과 관련하여, 甲이 사건 발생 14년여 후 자살하기 직전 작성한 유서가 발견되어 증거로 제출되었고, 유서에 甲이 자신의 범행을 참회하는 듯한 내용이 포함되어 있어 그 증거능력이 다투어진 사안에서, 제반 사정을 종합할 때, 유서가 신빙할 수 있는 상태에서 작성되었을 개연성이 있다고 평가할 여지는 있으나, 유서의 내용이 법정에서의 반대신문 등을 통한 검증을 굳이 거치지 않아도 될 정도로 신빙성이 충분히 담보된다고 평가할 수 없어 유서의 증거능력을 인정할 수 없다고 한 사례"
준강간미수[준강간죄의 장애미수 공소사실에 관한 심리결과 준강간죄의 불능미수 범죄사실이 인정되는 경우 직권심판의무가 인정되는지 여부가 문제된 사건],2021도9043,2024. 4. 12.,"형법 제27조, 형법 제299조, 형법 제300조, 형사소송법 제254조, 형사소송법 제298조","[1] 피고인이 피해자가 심신상실 또는 항거불능의 상태에 있다고 인식하고 그러한 상태를 이용하여 간음할 의사로 준강간의 실행에 착수하였으나, 피해자가 실제로는 심신상실 또는 항거불능의 상태에 있지 않은 경우, 피고인이 행위 당시에 인식한 사정을 놓고 일반인이 객관적으로 판단하여 보았을 때 준강간의 결과가 발생할 위험성이 있었다면 준강간죄의 불능미수가 성립하는지 여부(적극)
  [2] 공소사실의 동일성이 인정되는 범위 내에서 심리 경과에 비추어 피고인의 방어권 행사에 실질적인 불이익을 초래할 염려가 없다고 인정되는 경우, 공소장이 변경되지 않았더라도 직권으로 공소장에 기재된 공소사실과 다른 범죄사실을 인정할 수 있는지 여부(적극) 및 이때 법원이 직권으로 그 범죄사실을 인정하여야 하는 경우"
